pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
1,1,29,-1,XAUUSD,Long,sky_1,0.0,10.0,17700.0,2021-10-18 01:06:50,0,1770.0,1775.8,1767.09,1767.09,1.99,2021-10-18 04:36:41,-29.1,3:29:51,18.19999,-29.1,0.0,0.0,29,1771.69,1771.69,1769.73,1770.0,300,2021-10-18 01:04:42,0:02:08,19600.000000000364,16900.000000000546,0.0,0.0
4,1,300,-1,XAUUSD,Long,sky_1,0.111,10.0,17689.8,2021-10-18 14:46:44,0,1768.98,1775.32,1765.8,1765.67,1.99,2021-10-18 16:16:57,-33.09,1:30:13,20.59999,-33.09999,0.0,0.0,300,1770.87,1770.96,1769.18,1769.25,300,2021-10-18 14:43:31,0:01:50,17799.999999999727,16199.999999998909,0.0,0.0
5,1,327,-1,XAUUSD,Long,sky_1,-0.259,10.0,17659.9,2021-10-18 16:17:12,0,1765.99,1770.42,1763.77,1763.7,1.99,2021-10-18 22:48:28,-22.89,6:31:16,18.69999,-22.89999,0.0,0.0,327,1767.01,1767.06,1766.29,1766.3,300,2021-10-18 16:09:09,0:04:27,7699.999999999818,7100.000000000364,0.0,0.0
8,1,497,-1,XAUUSD,Long,sky_1,0.33,10.0,17815.3,2021-10-19 08:50:56,0,1781.53,1785.95,1779.31,1779.29,1.99,2021-10-19 09:30:46,-22.4,0:39:50,9.0,-22.4,0.0,0.0,497,1782.34,1782.43,1781.74,1782.08,300,2021-10-19 08:45:22,0:03:42,6900.000000000546,2599.999999999909,0.0,0.0
9,1,509,-1,XAUUSD,Long,sky_1,-0.112,10.0,17795.2,2021-10-19 09:30:52,0,1779.52,1782.56,1777.99,1777.94,1.98,2021-10-19 10:02:49,-15.79,0:31:57,9.5,-15.79999,0.0,0.0,509,1780.73,1780.86,1779.79,1779.9,300,2021-10-19 09:27:17,0:02:54,10699.999999999363,8299.999999999272,0.0,0.0
10,1,518,-1,XAUUSD,Long,sky_1,-0.408,10.0,17780.4,2021-10-19 10:02:53,0,1778.04,1782.04,1776.03,1776.03,1.99,2021-10-19 11:11:46,-20.09,1:08:53,21.3,-20.09999,0.0,0.0,518,1779.39,1779.62,1779.02,1779.53,300,2021-10-19 09:58:24,0:02:13,5999.9999999990905,1399.9999999987267,0.0,0.0
11,1,600,-1,XAUUSD,Long,sky_1,-0.605,10.0,17797.6,2021-10-19 13:25:05,0,1779.76,1785.74,1776.76,1776.75,1.99,2021-10-19 13:40:45,-30.09,0:15:40,12.89999,-30.09999,0.0,0.0,600,1780.1,1780.27,1779.09,1779.37,300,2021-10-19 13:23:12,0:01:36,11800.000000000637,7300.000000000182,0.0,0.0
16,1,947,-1,XAUUSD,Long,sky_1,0.656,10.0,17841.8,2021-10-20 13:05:45,0,1784.18,1790.16,1781.18,1781.17,1.99,2021-10-20 13:28:00,-30.09,0:22:15,15.49999,-30.09999,0.0,0.0,947,1786.47,1786.47,1784.1,1784.51,300,2021-10-20 13:03:47,0:01:49,23700.000000001182,19600.000000000364,0.0,0.0
17,1,957,-1,XAUUSD,Long,sky_1,0.104,10.0,17814.4,2021-10-20 13:28:12,0,1781.44,1787.24,1778.53,1778.47,1.99,2021-10-20 13:29:53,-29.7,0:01:41,0.69999,-29.7,0.0,0.0,957,1783.82,1783.91,1782.68,1782.7,300,2021-10-20 13:24:41,0:02:02,12300.000000000182,11199.999999998909,0.0,0.0
18,1,1049,-1,XAUUSD,Long,sky_1,-0.263,10.0,17835.899999999998,2021-10-20 17:07:43,0,1783.59,1787.99,1781.38,1781.27,1.99,2021-10-20 20:36:00,-23.19,3:28:17,33.1,-23.19999,0.0,0.0,1049,1784.51,1784.63,1783.49,1783.89,300,2021-10-20 17:05:30,0:01:57,11400.000000001,6199.999999998909,0.0,0.0
19,1,1146,-1,XAUUSD,Long,sky_1,-0.509,10.0,17862.9,2021-10-21 03:10:24,0,1786.29,1792.14,1783.36,1783.35,1.99,2021-10-21 05:34:05,-29.4,2:23:41,3.7,-29.4,0.0,0.0,1146,1787.2,1787.31,1786.09,1786.3,300,2021-10-21 03:06:20,0:03:40,12200.000000000273,9000.00000000091,0.0,0.0
20,1,1270,-1,XAUUSD,Long,sky_1,-0.672,10.0,17859.9,2021-10-21 10:27:39,0,1785.99,1789.81,1784.07,1784.07,1.98,2021-10-21 10:59:11,-19.2,0:31:32,9.9,-19.2,0.0,0.0,1270,1787.3,1787.33,1786.44,1786.44,300,2021-10-21 10:20:35,0:03:10,8899.999999998727,8599.999999999,0.0,0.0
