seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max,med_low,med_high,big_low,big_high,med_dc_hl_pip,big_dc_hl_pip
1,1766.46,1767.27,1765.81,1766.54,300,2021-10-17 22:01:00,0:06:43,14600.000000000364,799.9999999992724,0.0,0.0,1765.81,1767.27,1765.81,1767.27,14600.000000000364,14600.000000000364
2,1766.53,1767.44,1765.9,1766.46,300,2021-10-17 22:07:43,0:09:32,15399.999999999636,699.9999999993634,0.0,0.0,1765.81,1767.44,1765.81,1767.44,16300.000000001091,16300.000000001091
3,1766.47,1766.7,1765.51,1765.74,300,2021-10-17 22:17:18,0:12:25,11900.000000000546,7300.000000000182,0.0,0.0,1765.51,1767.44,1765.51,1767.44,19300.000000000637,19300.000000000637
4,1765.67,1766.15,1764.87,1765.37,300,2021-10-17 22:29:43,0:10:28,12800.000000002,3000.000000001819,0.0,0.0,1764.87,1767.44,1764.87,1767.44,25700.000000001637,25700.000000001637
5,1765.26,1767.38,1765.19,1767.38,300,2021-10-17 22:40:11,0:09:52,21900.000000000546,21200.000000001182,0.0,0.0,1764.87,1767.44,1764.87,1767.44,25700.000000001637,25700.000000001637
6,1767.46,1768.54,1767.46,1768.36,300,2021-10-17 22:50:04,0:10:02,10799.999999999272,8999.999999998636,0.0,0.0,1764.87,1768.54,1764.87,1768.54,36700.00000000073,36700.00000000073
7,1768.37,1770.79,1767.89,1770.64,300,2021-10-17 23:00:06,0:07:01,28999.999999998636,22700.000000002092,0.0,0.0,1764.87,1770.79,1764.87,1770.79,59200.00000000073,59200.00000000073
8,1770.62,1771.09,1769.8,1770.69,300,2021-10-17 23:07:08,0:07:03,12899.999999999636,700.0000000016371,0.0,0.0,1764.87,1771.09,1764.87,1771.09,62200.00000000028,62200.00000000028
9,1770.69,1770.75,1769.36,1769.7,300,2021-10-17 23:14:12,0:11:17,13900.000000001,9900.000000000091,0.0,0.0,1764.87,1771.09,1764.87,1771.09,62200.00000000028,62200.00000000028
10,1769.68,1770.81,1769.23,1770.74,300,2021-10-17 23:25:29,0:09:37,15799.999999999272,10599.999999999454,0.0,0.0,1764.87,1771.09,1764.87,1771.09,62200.00000000028,62200.00000000028
11,1770.73,1771.52,1770.66,1770.94,300,2021-10-17 23:35:06,0:08:13,8599.999999999,2100.000000000364,0.0,0.0,1764.87,1771.52,1764.87,1771.52,66500.0000000009,66500.0000000009
12,1770.98,1772.04,1770.52,1771.44,300,2021-10-17 23:43:20,0:06:28,15199.999999999818,4600.000000000364,0.0,0.0,1764.87,1772.04,1764.87,1772.04,71700.00000000073,71700.00000000073
13,1771.44,1771.74,1770.44,1770.44,300,2021-10-17 23:49:50,0:07:27,12999.999999999545,10000.0,0.0,0.0,1764.87,1772.04,1764.87,1772.04,71700.00000000073,71700.00000000073
14,1770.41,1771.65,1769.99,1770.94,300,2021-10-17 23:57:19,0:02:57,16600.00000000082,5299.999999999727,0.0,0.0,1764.87,1772.04,1764.87,1772.04,71700.00000000073,71700.00000000073
15,1770.91,1770.91,1769.69,1769.81,300,2021-10-18 00:00:17,0:03:58,12200.000000000273,11000.000000001364,0.0,0.0,1764.87,1772.04,1764.87,1772.04,71700.00000000073,71700.00000000073
16,1769.9,1769.94,1768.96,1769.49,300,2021-10-18 00:04:15,0:03:43,9800.000000000182,4100.0000000008185,0.0,0.0,1765.19,1772.04,1764.87,1772.04,68499.9999999991,71700.00000000073
17,1769.59,1769.91,1769.49,1769.74,300,2021-10-18 00:08:02,0:05:48,4200.000000000728,1500.0000000009095,0.0,0.0,1767.46,1772.04,1764.87,1772.04,45799.99999999927,71700.00000000073
18,1769.81,1770.09,1769.06,1769.73,300,2021-10-18 00:13:51,0:04:16,10299.999999999727,799.9999999992724,0.0,0.0,1767.89,1772.04,1764.87,1772.04,41499.99999999863,71700.00000000073
19,1769.77,1770.09,1769.08,1769.3,300,2021-10-18 00:18:07,0:04:13,10099.999999999909,4700.000000000273,0.0,0.0,1768.96,1772.04,1764.87,1772.04,30799.999999999272,71700.00000000073
20,1769.29,1770.38,1769.27,1769.7,300,2021-10-18 00:22:21,0:04:32,11100.000000001273,4100.0000000008185,0.0,0.0,1768.96,1772.04,1764.87,1772.04,30799.999999999272,71700.00000000073
21,1769.81,1770.27,1769.62,1770.12,300,2021-10-18 00:26:54,0:05:04,6500.0000000009095,3099.9999999994543,0.0,0.0,1768.96,1772.04,1764.87,1772.04,30799.999999999272,71700.00000000073
22,1770.12,1770.79,1769.79,1770.5,300,2021-10-18 00:31:59,0:06:51,10000.0,3800.0000000010914,0.0,0.0,1768.96,1772.04,1764.87,1772.04,30799.999999999272,71700.00000000073
23,1770.59,1771.24,1769.95,1770.57,300,2021-10-18 00:38:55,0:05:39,12899.999999999636,199.9999999998181,0.0,0.0,1768.96,1772.04,1764.87,1772.04,30799.999999999272,71700.00000000073
